    time factorize  solve_LU
       0         1         1
      30         1         1
      60         1         1
      90         1         1
     120         1         1
     150         1         1
     180         1         1
     210         1         1
     240         1         1
     270         1         1
     300         1         1
     330         1         1
     360         1         1
     390         1         1
     420         1         1
     450         1         1
     480         1         1
     510         1         1
     540         1         1
     570         1         1
     600         1         1
     630         1         1
     660         1         1
     690         1         1
     720         1         1
     750         1         1
     780         1         1
     810         1         1
     840         1         1
     870         1         1
     900         1         1
     930         1         1
     960         1         1
     990         1         1
