    time factorize  solve_LU
       0         1         1
      30         1         1
      60         1         1
      90         1         1
     120         1         1
     150         1         1
     180         1         1
     210         1         1
     240         1         1
     270         1         1
     300         1         1
     330         1         1
     360         1         1
     390         1         1
     420         1         1
     450         1         1
     480         1         1
     510         1         1
     540         1         1
     570         1         1
     600         1         1
     630         1         1
     660         1         1
     690         1         1
     720         1         1
     750         1         1
     780         1         1
     810         1         1
     840         1         1
     870         1         1
     900         1         1
     930         1         1
     960         1         1
     990         1         1
    1020         1         1
    1050         1         1
    1080         1         1
    1110         1         1
    1140         1         1
    1170         1         1
    1200         1         1
    1230         1         1
    1260         1         1
    1290         1         1
    1320         1         1
    1350         1         1
    1380         1         1
    1410         1         1
    1440         1         1
    1470         1         1
    1500         1         1
    1530         1         1
    1560         1         1
    1590         1         1
    1620         1         1
    1650         1         1
    1680         1         1
    1710         1         1
    1740         1         1
    1770         1         1
    1800         1         1
    1830         1         1
    1860         1         1
    1890         1         1
    1920         1         1
    1950         1         1
    1980         1         1
    2000         1         1
    2030         1         1
    2060         1         1
    2090         1         1
    2120         1         1
    2150         1         1
    2180         1         1
    2210         1         1
    2240         1         1
    2270         1         1
    2300         1         1
    2330         1         1
    2360         1         1
    2390         1         1
    2420         1         1
    2450         1         1
    2480         1         1
    2510         1         1
    2540         1         1
    2570         1         1
    2600         1         1
    2630         1         1
    2660         1         1
    2690         1         1
    2720         1         1
    2750         1         1
    2780         1         1
    2810         1         1
    2840         1         1
    2870         1         1
    2900         1         1
    2930         1         1
    2960         1         1
    2990         1         1
    3020         1         1
    3050         1         1
    3080         1         1
    3110         1         1
    3140         1         1
    3170         1         1
    3200         1         1
    3230         1         1
    3260         1         1
    3290         1         1
    3320         1         1
    3350         1         1
    3380         1         1
    3410         1         1
    3440         1         1
    3470         1         1
    3500         1         1
    3530         1         1
    3560         1         1
    3590         1         1
    3620         1         1
    3650         1         1
    3680         1         1
    3710         1         1
    3740         1         1
    3770         1         1
    3800         1         1
    3830         1         1
    3860         1         1
    3890         1         1
    3920         1         1
    3950         1         1
    3980         1         1
    4010         1         1
    4040         1         1
    4070         1         1
    4100         1         1
    4130         1         1
    4160         1         1
    4190         1         1
    4220         1         1
    4250         1         1
    4280         1         1
    4310         1         1
    4340         1         1
    4370         1         1
    4400         1         1
    4430         1         1
    4460         1         1
    4490         1         1
    4520         1         1
    4550         1         1
    4580         1         1
    4610         1         1
    4640         1         1
    4670         1         1
    4700         1         1
    4730         1         1
    4760         1         1
    4790         1         1
    4820         1         1
    4850         1         1
    4880         1         1
    4910         1         1
    4940         1         1
    4970         1         1
    5000         0         0
