    time factorize  solve_LU
       0         1         1
      30         1         1
      60         1         1
      90         1         1
     120         1         1
     150         1         1
     180         1         1
     210         1         1
     240         1         1
     270         1         1
     300         1         1
     330         1         1
     360         1         1
     390         1         1
     420         1         1
     450         1         1
     480         1         1
